day,hour,negative,neutral,positive
0,0,815,3604,1067
0,1,431,2297,767
0,2,462,2363,725
0,3,680,3140,872
0,4,907,3681,1026
0,5,919,4074,1095
0,6,922,4144,1141
0,7,930,4194,1142
0,8,893,3731,945
0,9,874,3730,936
0,10,718,2762,775
0,11,416,2016,527
0,12,420,1624,330
0,13,386,1509,319
0,14,302,1267,259
0,15,362,1404,295
0,16,388,1404,307
0,17,368,1391,314
0,18,334,1315,278
0,19,397,1447,318
0,20,605,2698,860
0,21,812,4341,1688
0,22,988,5598,2250
0,23,1041,5981,2475
1,0,983,6346,2815
1,1,728,4915,2189
1,2,756,4543,1754
1,3,615,3722,1372
1,4,673,3977,1446
1,5,770,4290,1582
1,6,735,4427,1754
1,7,824,4955,2029
1,8,1194,6697,2609
1,9,970,6228,2510
1,10,889,5751,2341
1,11,845,5371,2066
1,12,988,5931,2328
1,13,922,5181,1951
1,14,1118,6631,2730
1,15,1077,5645,2268
1,16,1167,6831,2709
1,17,1247,6917,2579
1,18,1318,6992,2790
1,19,1275,7162,2896
1,20,1086,5783,2291
1,21,1409,8360,3720
1,22,1462,8732,3774
1,23,1295,7443,3305
2,0,1095,6843,3058
2,1,1104,7070,3228
2,2,1024,6971,3169
2,3,1017,6917,3090
2,4,1017,7345,3194
2,5,1172,7259,2944
2,6,1349,8392,3522
2,7,1565,9945,4160
2,8,1677,10395,4310
2,9,1572,9763,3916
2,10,1335,7810,3206
2,11,1331,8215,3410
2,12,1389,8333,3267
2,13,1466,8935,3624
2,14,1482,8771,3593
2,15,1366,8580,3465
2,16,1357,8089,3416
2,17,1148,6454,2512
2,18,1367,7640,2977
2,19,1673,9544,4009
2,20,1893,10615,4525
2,21,1939,10959,5049
2,22,1999,12020,5502
2,23,1809,10855,5125
3,0,1687,11011,5101
3,1,1638,10792,4987
3,2,1531,10608,4971
3,3,1538,10586,4901
3,4,1543,11007,4882
3,5,1715,11200,4895
3,6,1826,11722,5299
3,7,1825,11789,5142
3,8,1851,12131,5387
3,9,1837,11394,5302
3,10,1520,11163,5140
3,11,1789,12640,5586
3,12,1117,7622,3415
3,13,825,6087,2665
3,14,985,6242,2855
3,15,944,6043,2732
3,16,1101,7021,3045
3,17,1093,7132,3198
3,18,1122,7359,3407
3,19,1159,7281,3351
3,20,882,5723,2772
3,21,419,3127,1546
3,22,594,4145,1972
3,23,1538,10373,4900
4,0,1536,10657,5012
4,1,1431,10412,4824
4,2,1436,10286,4830
4,3,1499,10817,4678
4,4,1691,11114,4954
4,5,1793,11420,5123
4,6,1777,11592,5243
4,7,1798,11359,5121
4,8,1022,6580,2896
4,9,932,5920,2513
4,10,935,5429,2312
4,11,1158,6376,2570
4,12,959,5657,2309
4,13,1034,6067,2416
4,14,1109,6223,2363
4,15,1257,6755,2667
4,16,1382,7409,2878
4,17,1023,6679,2678
4,18,1259,6464,2647
4,19,1134,6718,2882
4,20,1060,6252,2675
4,21,1092,6654,2948
4,22,1283,8391,3592
4,23,1415,9071,4000
5,0,1144,7958,3633
5,1,1142,7742,3498
5,2,1032,7804,3493
5,3,1167,7967,3541
5,4,1038,7538,3307
5,5,1040,7327,3161
5,6,997,6497,2842
5,7,1070,6215,2624
5,8,1117,5961,2219
5,9,776,3162,866
5,10,749,3139,816
5,11,778,3514,949
5,12,711,2983,829
5,13,802,3479,914
5,14,459,1888,598
5,15,608,2567,705
5,16,830,3356,843
5,17,828,3248,765
5,18,576,2571,782
5,19,611,2750,831
5,20,625,2802,961
5,21,1231,6151,2352
5,22,1274,6774,2812
5,23,970,5072,2015
6,0,722,4006,1561
6,1,682,3819,1386
6,2,696,3894,1455
6,3,746,3784,1433
6,4,740,4281,1466
6,5,850,4350,1465
6,6,801,4163,1526
6,7,848,4358,1580
6,8,591,2887,1019
6,9,552,2534,845
6,10,479,2495,783
6,11,217,924,167
6,12,242,874,185
6,13,159,684,120
6,14,254,927,197
6,15,342,1197,241
6,16,368,1369,316
6,17,396,1487,277
6,18,385,1441,310
6,19,373,1448,293
6,20,468,1846,473
6,21,857,3321,808
6,22,866,3271,825
6,23,891,3834,1102
